action,score,retailer,scraped_name,scraped_price,matched_name,matched_slug,matched_category,product_url
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 9800X3D (4.7 GHz / 5.2 GHz)",5699.00,"AMD Ryzen 7 9800X3D",amd-ryzen-7-9800x3d,cpu,https://www.ultrapc.ma/socket-am5/9642-amd-ryzen-7-9800x3d-47-ghz-52-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 9800X3D (4.7 GHz / 5.2 GHz) Tray",5399.00,"AMD Ryzen 7 9800X3D",amd-ryzen-7-9800x3d,cpu,https://www.ultrapc.ma/socket-am5/9346-amd-ryzen-7-9800x3d-47-ghz-52-ghz-tray.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 7 9800X3D (4.7 GHz / 5.2 GHz) Tray",5499.00,"AMD Ryzen 7 9800X3D",amd-ryzen-7-9800x3d,cpu,https://www.ultrapc.ma/socket-am5/11572-aoc-24b36x-238-ips-144hz-05ms.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 7 9850X3D (4.7 GHz / 5.6 GHz)",6199.00,"",,,https://www.ultrapc.ma/socket-am5/11833-amd-ryzen-7-9850x3d-47-ghz-56-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 5900X (3.7 GHz / 4.8 GHz)",3369.00,"AMD Ryzen 9 5900X",amd-ryzen-9-5900x,cpu,https://www.ultrapc.ma/socket-am4/3866-amd-ryzen-9-5900x-37-ghz-48-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 5950X (3.4 GHz / 4.9 GHz) BOX",3499.00,"AMD Ryzen 9 5950X",amd-ryzen-9-5950x,cpu,https://www.ultrapc.ma/socket-am4/3867-amd-ryzen-9-5950x-34-ghz-49-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 5950X (3.4 GHz / 4.9 GHz) Tray",2999.00,"AMD Ryzen 9 5950X",amd-ryzen-9-5950x,cpu,https://www.ultrapc.ma/socket-am4/8328-amd-ryzen-9-5950x-34-ghz-49-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 7900 (3.7 GHz / 5.4 GHz) Tray",4499.00,"",,,https://www.ultrapc.ma/socket-am5/9400-amd-ryzen-9-7900-37-ghz-54-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 7900 Wraith Prism (3.7 GHz / 5.4 GHz) BOX",3799.00,"",,,https://www.ultrapc.ma/socket-am5/7354-amd-ryzen-9-7900-wraith-prism-37-ghz-54-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 7900X3D (4.4 GHz / 5.6 GHz)",6990.00,"",,,https://www.ultrapc.ma/socket-am5/5511-amd-ryzen-9-7900x3d-44-ghz-56-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 7950X3D (4.2 GHz / 5.7 GHz)",7790.00,"AMD Ryzen 9 7950X3D",amd-ryzen-9-7950x3d,cpu,https://www.ultrapc.ma/socket-am5/5512-amd-ryzen-9-7950x3d-42-ghz-57-ghz.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 7950X3D (4.2 GHz / 5.7 GHz) Tray",7990.00,"AMD Ryzen 9 7950X3D",amd-ryzen-9-7950x3d,cpu,https://www.ultrapc.ma/socket-am5/8462-amd-ryzen-9-7950x3d-42-ghz-57-ghz-tray.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 9900X (4.4 GHz / 5.6 GHz) BOX",4699.00,"AMD Ryzen 9 9900X",amd-ryzen-9-9900x,cpu,https://www.ultrapc.ma/socket-am5/8424-amd-ryzen-9-9900x-44-ghz-56-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 9900X (4.4 GHz / 5.6 GHz) Tray",5299.00,"AMD Ryzen 9 9900X",amd-ryzen-9-9900x,cpu,https://www.ultrapc.ma/socket-am5/9933-amd-ryzen-9-9900x-44-ghz-56-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 9900X3D (4.4 GHz / 5.5 GHz) BOX",7999.00,"",,,https://www.ultrapc.ma/socket-am5/11147-amd-ryzen-9-9900x3d-44-ghz-55-ghz-box.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 9900X3D (4.4 GHz / 5.5 GHz) Tray",7199.00,"",,,https://www.ultrapc.ma/socket-am5/10045-amd-ryzen-9-9900x3d-44-ghz-55-ghz-tray.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 9950X (4.3 GHz / 5.7 GHz) BOX",6999.00,"AMD Ryzen 9 9950X",amd-ryzen-9-9950x,cpu,https://www.ultrapc.ma/socket-am5/8426-amd-ryzen-9-9950x-43-ghz-57-ghz-box.html
WOULD MAP,100%,UltraPC,"AMD Ryzen 9 9950X (4.3 GHz / 5.7 GHz) Tray",5999.00,"AMD Ryzen 9 9950X",amd-ryzen-9-9950x,cpu,https://www.ultrapc.ma/socket-am5/9009-amd-ryzen-9-9950x-43-ghz-57-ghz-tray.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 9950X3D (4.3 GHz / 5.7 GHz)",8799.00,"",,,https://www.ultrapc.ma/socket-am5/9916-amd-ryzen-9-9950x3d-43-ghz-57-ghz.html
WOULD IGNORE,0%,UltraPC,"AMD Ryzen 9 9950X3D (4.3 GHz / 5.7 GHz) Tray",7499.00,"",,,https://www.ultrapc.ma/socket-am5/10182-amd-ryzen-9-9950x3d-43-ghz-57-ghz-tray.html
WOULD MAP,100%,UltraPC,"ANTEC ATOM G750 750W GOLD 80+",949.00,"Corsair Corsair RM750x 750W 80+ Gold",corsair-corsair-rm750x-750w-80-gold,psu,https://www.ultrapc.ma/entre-700-w-et-799-w/10103-antec-atom-g750-750w-gold-80-4710562755428.html
WOULD MAP,100%,UltraPC,"ANTEC ATOM G850 850W GOLD 80+",1049.00,"Corsair Corsair RM850x 850W 80+ Gold",corsair-corsair-rm850x-850w-80-gold,psu,https://www.ultrapc.ma/entre-800-w-et-899-w/10102-antec-atom-g850-850w-gold-80-4710562755428.html
WOULD IGNORE,0%,UltraPC,"ANTEC CX300 ARGB Noir",599.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10101-antec-cx300-argb-noir.html
WOULD IGNORE,0%,UltraPC,"APNX AP1-V High Performance 5 Pipe CPU Air Cooler (Black)",499.00,"",,,https://www.ultrapc.ma/ventirads-processeur/10734-apnx-ap1-v-high-performance-5-pipe-cpu-air-cooler-black.html
WOULD IGNORE,0%,UltraPC,"APNX AP1-V High Performance 5 Pipe CPU Air Cooler (White)",499.00,"",,,https://www.ultrapc.ma/ventirads-processeur/10735-apnx-ap1-v-high-performance-5-pipe-cpu-air-cooler-white.html
WOULD IGNORE,0%,UltraPC,"APNX Creator C1-R (Black)",1099.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10712-apnx-creator-c1-r-black.html
WOULD IGNORE,0%,UltraPC,"APNX Creator C1-R (Chromaflair)",1149.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10714-apnx-creator-c1-r-chromaflair.html
WOULD IGNORE,0%,UltraPC,"APNX Creator C1-R (White)",899.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10713-apnx-creator-c1-r-white.html
WOULD IGNORE,0%,UltraPC,"APNX Creator C1-R ARGB (ChromaFlair)",1199.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10711-apnx-creator-c1-r-argb-chromaflair.html
WOULD IGNORE,0%,UltraPC,"APNX Creator C1-R ARGB (White)",999.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10710-apnx-creator-c1-r-argb-white.html
WOULD IGNORE,0%,UltraPC,"APNX FP1-R Performance Reverse Flow ARGB 120mm PWM Fan (Black)",149.00,"",,,https://www.ultrapc.ma/ventilateurs-boitier/10733-apnx-fp1-r-performance-reverse-flow-argb-120mm-pwm-fan-black.html
WOULD IGNORE,0%,UltraPC,"APNX FP1-R Performance Reverse Flow ARGB 120mm PWM Fan (White)",149.00,"",,,https://www.ultrapc.ma/ventilateurs-boitier/10732-apnx-fp1-r-performance-reverse-flow-argb-120mm-pwm-fan-white.html
WOULD IGNORE,0%,UltraPC,"APNX V1 Black",1299.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10718-apnx-v1-black.html
WOULD IGNORE,0%,UltraPC,"APNX V1 Black (Wood Edition)",1199.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10729-apnx-v1-black-wood-edition.html
WOULD IGNORE,0%,UltraPC,"APNX V1 Black/White",999.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10728-apnx-v1-black-white.html
WOULD IGNORE,0%,UltraPC,"APNX V1 Black/White (Wood Edition)",1199.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10731-apnx-v1-black-white-wood-edition.html
WOULD IGNORE,0%,UltraPC,"APNX V1 White",1049.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10727-apnx-v1-white.html
WOULD IGNORE,0%,UltraPC,"APNX V1 White (Wood Edition)",1199.00,"",,,https://www.ultrapc.ma/les-moyennes-tours/10730-apnx-v1-white-wood-edition.html
WOULD IGNORE,0%,UltraPC,"ARCTIC Alpine 17 CO",119.00,"",,,https://www.ultrapc.ma/ventirads-processeur/9341-arctic-alpine-17-co.html
WOULD IGNORE,0%,UltraPC,"ARKTEK AMD RADEON RX 580 8Go GDDR6",1349.00,"",,,https://www.ultrapc.ma/amd/9076-arktek-amd-radeon-rx-580-8go-gddr6.html
WOULD IGNORE,0%,UltraPC,"ARKTEK RX550 4GB",999.00,"",,,https://www.ultrapc.ma/amd/9356-arktek-rx550-4gb.html
WOULD IGNORE,0%,UltraPC,"ASROCK Radeon RX 9060 XT Challenger OC 8Go GDDR6",4299.00,"",,,https://www.ultrapc.ma/amd/10520-asrock-radeon-rx-9060-xt-challenger-oc-8gb-gddr6.html
WOULD IGNORE,0%,UltraPC,"ASRock A520M-HVS",799.00,"",,,https://www.ultrapc.ma/socket-am4/7153-asrock-a520m-hvs.html
WOULD IGNORE,0%,UltraPC,"ASRock A620I Lightning WiFi",1989.00,"",,,https://www.ultrapc.ma/socket-am5/7357-asrock-a620i-lightning-wifi.html
